286dc4a3d82e07d4149bba6a62c9eb6d;Fig.73: WMO YAWL model for MunE
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;status change to Send invoice;{NN}{NN}{TO}{VB}{NN}
event;status change to Give or send decision;{NN}{NN}{TO}{VB}{CC}{VB}{NN}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;always;{RB}
event;status change to Archive;{NN}{NN}{TO}{NNP}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;status change to Clarify request;{NN}{NN}{TO}{VB}{NN}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;status change to Register mail;{NN}{NN}{TO}{NNP}{NN}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;status change to;{NN}{NN}{TO}
event;status change to Have phone conversation;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Start case options;{NN}{NN}{TO}{NNP}{NN}{NNS}
event;status change to;{NN}{NN}{TO}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;no;{DT}
event;status change to Formulate decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Archive decision;{NN}{NN}{TO}{NNP}{NN}
event;status change to Formulate request for offers;{NN}{NN}{TO}{VB}{NN}{IN}{NNS}
event;status change to Send request for offers;{NN}{NN}{TO}{VB}{NN}{IN}{NNS}
event;status change to Handle Payment;{NN}{NN}{TO}{VB}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Receive WMO request via mail;{NN}{NN}{TO}{VB}{NN}{NN}{IN}{NN}
event;status change to Execute order 1;{NN}{NN}{TO}{VB}{NN}{CD}
event;status change to Perform fitting;{NN}{NN}{TO}{VB}{JJ}
event;status change to Check decision by quality employee;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NN}
event;status change to Order sent;{NN}{NN}{TO}{NN}{VBD}
event;other;{JJ}
event;status change to About household help;{NN}{NN}{TO}{IN}{NN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Close case;{NN}{NN}{TO}{VB}{NN}
event;status change to Formulate decision;{NN}{NN}{TO}{VB}{NN}
