9ae0305a2ccde6e9a606e4d7bb76ced8;Fig.63: WABO2 YAWL model for MunE
event;status change to Receive requested info;{NN}{NN}{TO}{VB}{VBN}{NN}
event;status change to Assign investigating officer;{NN}{NN}{TO}{VB}{VBG}{NN}
event;status change to Send final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Applicant decides to reconsider application;{NN}{NN}{TO}{NN}{VBZ}{TO}{VB}{NN}
event;status change to Archive negative decision;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Check for contradictions;{NN}{NN}{TO}{VB}{IN}{NNS}
event;status change to Permit;{NN}{NN}{TO}{VB}
event;yes;{RB}
event;status change to Send bill;{NN}{NN}{TO}{VB}{NN}
event;status change to Publish final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;not complete;{RB}{VB}
event;complete;{JJ}
event;status change to Format intention to refuse;{NN}{NN}{TO}{NN}{NN}{TO}{VB}
event;status change to Check fire safety;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Send procedure confirmation;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Ask for advice;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Positive advice;{NN}{NN}{TO}{JJ}{NN}
event;the end;{DT}{NN}
event;status change to Notify advisors;{NN}{NN}{TO}{VB}{NNS}
event;status change to Archive decision;{NN}{NN}{TO}{NNP}{NN}
