2fe1d0ede63cfb01220e6a9995f0187d;Fig.68: WABO2 YAWL model for MunJ
event;status change to Waiting for info;{NN}{NN}{TO}{VBG}{IN}{NN}
event;yes;{RB}
event;yes;{RB}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;yes;{RB}
event;status change to Send procedure confirmation;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Sign final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;complete;{JJ}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Publish notice request;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Send decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Check for contradictions;{NN}{NN}{TO}{VB}{IN}{NNS}
event;status change to Prepare concept decision;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Positive advice;{NN}{NN}{TO}{JJ}{NN}
event;the end;{DT}{NN}
event;status change to Collect advice;{NN}{NN}{TO}{VB}{NN}
event;status change to Archive decision;{NN}{NN}{TO}{NNP}{NN}
event;no;{DT}
event;status change to Refuse permit;{NN}{NN}{TO}{VB}{NN}
event;not complete;{RB}{VB}
event;yes;{RB}
event;status change to Place file in the cabinet;{NN}{NN}{TO}{NN}{NN}{IN}{DT}{NN}
event;status change to Sign decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Informally check completeness;{NN}{NN}{TO}{RB}{VB}{NN}
event;status change to Check completeness;{NN}{NN}{TO}{VB}{NN}
event;status change to Receive requested info;{NN}{NN}{TO}{VB}{VBN}{NN}
event;status change to Right authority;{NN}{NN}{TO}{NNP}{NN}
event;status change to Publish decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Process result;{NN}{NN}{TO}{VB}{NN}
event;status change to Receive VVGB;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Move file to the cabinet;{NN}{NN}{TO}{VB}{NN}{TO}{DT}{NN}
event;status change to Check wealth;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Publish negative decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Receive request via mail;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Conclude decision;{NN}{NN}{TO}{NNP}{NN}
