4ab9a107251827b7b52826e57909e6f1;Fig.72: WMO YAWL model for MiunD
event;status change to Formulate decision;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;status change to Send confirmation of receipt;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Assign category;{NN}{NN}{TO}{VB}{NN}
event;status change to;{NN}{NN}{TO}
event;no;{DT}
event;other;{JJ}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;status change to Process in the system;{NN}{NN}{TO}{VB}{IN}{DT}{NN}
event;status change to Assign to available consultant;{NN}{NN}{TO}{VB}{TO}{JJ}{NN}
event;yes;{RB}
event;status change to Send invoice;{NN}{NN}{TO}{VB}{NN}
event;status change to Obtain quotes;{NN}{NN}{TO}{VB}{NNS}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;application;{NN}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
