48538eb2df07168f77930147abcf4202;Fig.74: WMO YAWL model for MunF
function;Process continue 12;{VB}{VB}{CD}
function;Process continue 25;{VB}{VB}{CD}
function;Fill in app form;{VB}{IN}{NN}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Need MO advice;{VBN}{NNP}{NN}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;with PGB;{IN}{NN}
event;only if no PGB;{RB}{IN}{DT}{NN}
event;status change to Execute order;{NN}{NN}{TO}{VB}{NN}
event;status change to Perform fitting;{NN}{NN}{TO}{VB}{JJ}
event;expecting more documents;{VBG}{JJR}{NNS}
event;always;{RB}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;status change to Formulate decision;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;no need for MO advice;{DT}{NN}{IN}{NNP}{NN}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;status change to Check own contribution;{NN}{NN}{TO}{VB}{JJ}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;status change to;{NN}{NN}{TO}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;always;{RB}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;status change to Fill in app form;{NN}{NN}{TO}{VB}{IN}{NN}{NN}
event;status change to Check app form;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Create summary of aggregate income;{NN}{NN}{TO}{VB}{NN}{IN}{JJ}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;no other documents expected;{DT}{JJ}{NNS}{VBN}
event;status change to Record request;{NN}{NN}{TO}{NNP}{NN}
event;status change to;{NN}{NN}{TO}
event;Begin care;{VB}{NN}
event;status change to Send invoice;{NN}{NN}{TO}{VB}{NN}
event;status change to Sign adjudication;{NN}{NN}{TO}{VB}{NN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;status change to Check received documents;{NN}{NN}{TO}{VB}{VBN}{NNS}
event;no PGB;{DT}{NN}
event;concerns care request;{NNS}{VBP}{NN}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;status change to Immediate solution;{NN}{NN}{TO}{NNP}{NN}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;status change to Handle Payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Need MO advice;{NN}{NN}{TO}{NNP}{NN}
event;status change to;{NN}{NN}{TO}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;status change to Receive MO advice;{NN}{NN}{TO}{VB}{NNP}{NN}
event;status change to Receive data of start of care;{NN}{NN}{TO}{VB}{NNS}{IN}{NN}{IN}{NN}
event;transportation facilities;{NN}{NNS}
event;no;{DT}
event;yes;{RB}
event;status change to Calculate own contribution;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Formulate advice;{NN}{NN}{TO}{VB}{NN}
event;the end;{DT}{NN}
event;other;{JJ}
