e3642ddd0c25b1941017e65b08ef90df;Fig.75: WMO YAWL model for MunG
event;status change to;{NN}{NN}{TO}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Receive WMO request via mail;{NN}{NN}{TO}{VB}{NN}{NN}{IN}{NN}
event;status change to Transfer amount to CAK;{NN}{NN}{TO}{NN}{NN}{TO}{NN}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Send confirmation of receipt;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Fill in form under supervision;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NN}
event;no PGB and home modifications;{DT}{NN}{CC}{NN}{NNS}
event;status change to Hold consultative meeting with customer;{NN}{NN}{TO}{VB}{JJ}{NN}{IN}{NN}
event;always;{RB}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;status change to;{NN}{NN}{TO}
event;simple household assistance;{JJ}{NN}{NN}
event;no PGB;{DT}{NN}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;no PGB and no home modifications;{DT}{NN}{CC}{DT}{NN}{NNS}
event;status change to Handle Payment;{NN}{NN}{TO}{VB}{NN}
event;transportation facilities;{NN}{NNS}
event;other;{JJ}
event;status change to Start case options;{NN}{NN}{TO}{NNP}{NN}{NNS}
event;status change to Invite offerings;{NN}{NN}{TO}{VB}{NNS}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;status change to;{NN}{NN}{TO}
event;status change to Assess need for house visit and medical advice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Make offer;{NN}{NN}{TO}{VB}{NN}
event;always;{RB}
event;status change to Request cost estimation for modification;{NN}{NN}{TO}{NNP}{NN}{NN}{IN}{NN}
event;with PGB;{IN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;other;{JJ}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;status change to Send recommendation to WMO;{NN}{NN}{TO}{VB}{NN}{TO}{NNP}
event;status change to;{NN}{NN}{TO}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;status change to Store as PDF;{NN}{NN}{TO}{NN}{IN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Send e-mail to WMO;{NN}{NN}{TO}{VB}{NN}{TO}{NNP}
event;status change to Mail recommendation to WMO advisor;{NN}{NN}{TO}{VB}{NN}{TO}{NNP}{NN}
event;status change to;{NN}{NN}{TO}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
