647e57a5041349f631c873933444123f;Consolidation
event;Exchange rates / translation methods are maintained centrally;{NNP}{NNS}{:}{NN}{NNS}{VBP}{VBN}{RB}
event;Balance reconcil- iation was carried out;{NN}{NN}{:}{NN}{VBD}{VBN}{RP}
event;Changes in current year entered for purchase method company;{NNS}{IN}{JJ}{NN}{VBD}{IN}{NN}{NN}{NN}
event;Main consolidation process to be started;{NNP}{NN}{NN}{TO}{VB}{VBN}
event;FS item sets were specified;{NN}{NN}{NNS}{VBD}{VBN}
event;G/L accounts are assigned to financial statement items;{NN}{NNS}{VBP}{VBN}{TO}{JJ}{NN}{NNS}
event;Data is updated realtime;{NNS}{VBZ}{VBN}{NN}
event;Group inventories are entered for the elimination of IC profit and loss;{NNP}{NNS}{VBP}{VBN}{IN}{DT}{NN}{IN}{NN}{NN}{CC}{NN}
event;Elimination of IC profit and loss in inventory is completed;{NN}{IN}{NN}{NN}{CC}{NN}{IN}{NN}{VBZ}{VBN}
event;Asset transfers are entered for retiring company;{NNP}{NNS}{VBP}{VBN}{IN}{VBG}{NN}
event;Individual/ subgroup financial state- ments are to be sent to parent company;{JJ}{:}{NN}{JJ}{NN}{:}{NNS}{VBP}{TO}{VB}{VBN}{TO}{NN}{NN}
event;Master data is maintained in local system;{NN}{NNS}{VBZ}{VBN}{IN}{JJ}{NN}
event;File is transferred as PC file;{VB}{VBZ}{VBN}{IN}{NN}{NN}
event;Company is sold to parent company of a different subgroup;{NN}{VBZ}{VBN}{TO}{NN}{NN}{IN}{DT}{JJ}{NN}
event;Company is partially split into new company/ies;{NN}{VBZ}{RB}{VBN}{IN}{JJ}{NNS}
event;Intercompany profit/ loss in trans- ferred assets is eliminated;{NN}{NN}{:}{NN}{IN}{JJ}{:}{JJ}{NNS}{VBZ}{VBN}
event;Company is acquired;{NN}{VBZ}{VBN}
event;Company is split completely into new companies;{NN}{VBZ}{JJ}{RB}{IN}{JJ}{NNS}
event;New item number should be created;{NNP}{NN}{NN}{MD}{VB}{VBN}
event;Group chart of accounts created/ G/L accounts assigned;{NNP}{NN}{IN}{NNS}{VBN}{:}{NN}{NNS}{VBN}
event;Intercompany profit and loss in inventory is to be eliminated;{NN}{NN}{CC}{NN}{IN}{NN}{VBZ}{TO}{VB}{VBN}
event;Extract is transferred as UNIX file;{NN}{VBZ}{VBN}{IN}{NNP}{NN}
event;Inconsistencies are justified;{NNS}{VBP}{JJ}
event;Information exists for central adjustments to valuation;{NNP}{VBZ}{IN}{JJ}{NNS}{TO}{NN}
event;Investment divesti- ture to be entered for parent of original company;{NN}{NNS}{:}{NN}{TO}{VB}{VBN}{IN}{NN}{IN}{JJ}{NN}
event;Subsequent consolidation was carried out;{JJ}{NN}{VBD}{VBN}{RP}
event;Provisional currency translation is carried out;{JJ}{NN}{NN}{VBZ}{VBN}{RP}
event;Intercompany sales are entered for the elimination of IC profit and loss;{NN}{NNS}{VBP}{VBN}{IN}{DT}{NN}{IN}{NN}{NN}{CC}{NN}
