1a2a8e5018d6660f8e531690e805bc4c;Fig.70: WNMO YAWL model for MunB
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
event;status change to Concerns disabled parking card;{NN}{NN}{TO}{NNS}{JJ}{NN}{NN}
event;status change to;{NN}{NN}{TO}
event;no;{DT}
event;existing previous file;{VBG}{JJ}{NN}
event;no PGB;{DT}{NN}
event;status change to Assess need for house visit and medical advice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Enter request;{NN}{NN}{TO}{VB}{NN}
event;with PGB;{IN}{NN}
event;status change to Compare invoice to record;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Add parking card to Central Desk file;{NN}{NN}{TO}{VB}{NN}{NN}{TO}{NNP}{NN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;status change to Pay part of invoice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Perform consult;{NN}{NN}{TO}{VB}{VB}
event;the end;{DT}{NN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;always;{RB}
event;status change to Receive request ISD;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Send request to ISD;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Higher than EUR 10000;{NN}{NN}{TO}{JJR}{IN}{$}{CD}
event;uncomplete;{JJ}
event;status change to Need quotation;{NN}{NN}{TO}{NNP}{NN}
event;yes;{RB}
event;status change to Get in contact about wrong charges;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{JJ}{NNS}
event;always;{RB}
event;status change to Make GBA extract;{NN}{NN}{TO}{VB}{NNP}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Receive offers;{NN}{NN}{TO}{VB}{NNS}
event;yes;{RB}
event;yes;{RB}
event;only if no PGB;{RB}{IN}{DT}{NN}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;negative;{JJ}
event;status change to;{NN}{NN}{TO}
event;status change to Pass on form hard copy to Central Desk;{NN}{NN}{TO}{VB}{IN}{NN}{JJ}{NN}{TO}{NNP}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;status change to Execute order;{NN}{NN}{TO}{VB}{NN}
event;status change to Go through app;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to;{NN}{NN}{TO}
event;always;{RB}
event;status change to Assess need to consult ISD;{NN}{NN}{TO}{VB}{NN}{TO}{VB}{NNP}
event;status change to Give card to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;no;{DT}
event;status change to Sign parking card or municipality;{NN}{NN}{TO}{VB}{NN}{NN}{CC}{NN}
event;status change to Obtain quotes;{NN}{NN}{TO}{VB}{NNS}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;no;{DT}
event;status change to Formulate rejection letter;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Record request ISD;{NN}{NN}{TO}{NNP}{NN}{NN}
event;status change to Receive confirmation;{NN}{NN}{TO}{VB}{NN}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;complete;{JJ}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;status change to Record request in DMS;{NN}{NN}{TO}{NNP}{NN}{IN}{NNP}
event;status change to Copy card;{NN}{NN}{TO}{VB}{NN}
event;status change to Assign to available consultant;{NN}{NN}{TO}{VB}{TO}{JJ}{NN}
event;status change to Prepare invalid parking card;{NN}{NN}{TO}{VB}{JJ}{NN}{NN}
event;transportation facilities;{NN}{NNS}
event;status change to Record request;{NN}{NN}{TO}{NNP}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;status change to Archive;{NN}{NN}{TO}{NNP}
event;status change to Give application form;{NN}{NN}{TO}{VB}{NN}{NN}
event;positive;{JJ}
event;status change to Perform fitting;{NN}{NN}{TO}{VB}{JJ}
event;yes;{RB}
event;always;{RB}
event;no;{DT}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;status change to Get customer;{NN}{NN}{TO}{VB}{NN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;no previous file;{DT}{JJ}{NN}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;other;{JJ}
event;status change to Solve problems;{NN}{NN}{TO}{VB}{NNS}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;status change to Send letter and report to customer;{NN}{NN}{TO}{VB}{NN}{CC}{NN}{TO}{NN}
event;status change to Send recomm;{NN}{NN}{TO}{VB}{NN}
