80a29b1c3bbe06c638ec68816328c8f9;Fig.61: WABO2 YAWL model MunC
event;status change to Conclude decision;{NN}{NN}{TO}{NNP}{NN}
event;status change to Publish final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Time for info expired;{NN}{NN}{TO}{NNP}{IN}{NN}{VBD}
event;status change to Negative advice;{NN}{NN}{TO}{JJ}{NN}
event;status change to Waiting for info;{NN}{NN}{TO}{VBG}{IN}{NN}
event;the end;{DT}{NN}
event;complete;{JJ}
event;status change to Receive VVGB;{NN}{NN}{TO}{VB}{NN}
event;status change to Check completeness;{NN}{NN}{TO}{VB}{NN}
event;status change to Sign decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Collect advice;{NN}{NN}{TO}{VB}{NN}
event;status change to Prepare advice report;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Archive final decision;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Check urban plan;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Sign final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Inform customer;{NN}{NN}{TO}{VB}{NN}
event;status change to Determine procedure period;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Waiting for comments;{NN}{NN}{TO}{VBG}{IN}{NNS}
event;status change to VVGB time expired;{NN}{NN}{TO}{NNP}{NN}{VBD}
event;status change to Publish notice request;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Format intention to refuse;{NN}{NN}{TO}{NN}{NN}{TO}{VB}
event;status change to Archive decision;{NN}{NN}{TO}{NNP}{NN}
event;status change to Record request in system;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Check wealth;{NN}{NN}{TO}{VB}{NN}
event;status change to Publish decision;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Receive requested info;{NN}{NN}{TO}{VB}{VBN}{NN}
event;status change to Check building regulation;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Check fire safety;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Archive negative decision;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Positive advice;{NN}{NN}{TO}{JJ}{NN}
event;status change to Informally check completeness;{NN}{NN}{TO}{RB}{VB}{NN}
event;no;{DT}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Send procedure confirmation;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to VVGB required;{NN}{NN}{TO}{NN}{VBD}
event;status change to Test admissibility;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Applicant decides to reconsider application;{NN}{NN}{TO}{NN}{VBZ}{TO}{VB}{NN}
event;status change to Assign investigating officer;{NN}{NN}{TO}{VB}{VBG}{NN}
event;yes;{RB}
event;status change to Send acknowledgement;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Publish negative decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Forward to appropriate authority;{NN}{NN}{TO}{RB}{TO}{JJ}{NN}
event;status change to Send negative decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;not complete;{RB}{VB}
event;status change to Start case;{NN}{NN}{TO}{NNP}{NN}
event;status change to Test adm fire department;{NN}{NN}{TO}{VB}{NN}{NN}{NN}
event;status change to Ask for advice;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Receive advice;{NN}{NN}{TO}{VB}{NN}
event;status change to Right authority;{NN}{NN}{TO}{NNP}{NN}
event;status change to Waiting for VVGB;{NN}{NN}{TO}{VBG}{IN}{NN}
event;status change to Receive request via mail;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;yes;{RB}
