d55435515d0c6c6b5827f62256a6a162;Fig.67: WABO2 YAWL model for MunI
function;Conclude decision;{VB}{NN}
function;Collect admissibility;{VB}{NN}
function;Sign decision;{NN}{NN}
function;Check for contradictions;{VB}{IN}{NNS}
function;Receive VVGB;{VB}{NN}
function;Hold hearing;{VB}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;VVGB time expired;{NNP}{NN}{VBD}
function;Fill in e-form;{VB}{IN}{NN}
function;VVGB required;{NN}{VBD}
function;Positive advice;{JJ}{NN}
function;Publish decision;{VB}{NN}
function;Time for info expired;{NNP}{IN}{NN}{VBD}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
event;status change to Receive request via mail;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Send procedure confirmation;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Waiting for VVGB;{NN}{NN}{TO}{VBG}{IN}{NN}
event;yes;{RB}
event;not complete;{RB}{VB}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
event;status change to Record request in system;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Collect admissibility;{NN}{NN}{TO}{VB}{NN}
event;status change to Informally check completeness;{NN}{NN}{TO}{RB}{VB}{NN}
event;status change to Check completeness;{NN}{NN}{TO}{VB}{NN}
event;status change to Receive VVGB;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Test adm fire department;{NN}{NN}{TO}{VB}{NN}{NN}{NN}
event;status change to Applicant decides to reconsider application;{NN}{NN}{TO}{NN}{VBZ}{TO}{VB}{NN}
event;status change to Publish notice request;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Send decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Receive requested info;{NN}{NN}{TO}{VB}{VBN}{NN}
event;status change to Publish final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Check for contradictions;{NN}{NN}{TO}{VB}{IN}{NNS}
event;status change to Time for info expired;{NN}{NN}{TO}{NNP}{IN}{NN}{VBD}
event;status change to Prepare concept decision;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Waiting for comments;{NN}{NN}{TO}{VBG}{IN}{NNS}
event;status change to Test adm architecture advisor;{NN}{NN}{TO}{VB}{NN}{NN}{NN}
event;no;{DT}
event;status change to Positive advice;{NN}{NN}{TO}{JJ}{NN}
event;yes;{RB}
event;status change to Test admissibility;{NN}{NN}{TO}{VB}{NN}
event;status change to Sign decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Right authority;{NN}{NN}{TO}{NNP}{NN}
event;status change to Test adm urban planning;{NN}{NN}{TO}{VB}{NN}{JJ}{NN}
event;status change to Process result;{NN}{NN}{TO}{VB}{NN}
event;status change to Send final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Receive advice;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Determine procedure period;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Refuse permit;{NN}{NN}{TO}{VB}{NN}
event;status change to VVGB time expired;{NN}{NN}{TO}{NNP}{NN}{VBD}
event;yes;{RB}
event;status change to Format intention to refuse;{NN}{NN}{TO}{NN}{NN}{TO}{VB}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;yes;{RB}
event;status change to Time for advice expired;{NN}{NN}{TO}{NNP}{IN}{NN}{VBD}
event;status change to VVGB required;{NN}{NN}{TO}{NN}{VBD}
event;status change to Test adm wealth;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Publish negative decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Archive decision;{NN}{NN}{TO}{NNP}{NN}
event;the end;{DT}{NN}
event;complete;{JJ}
event;status change to Waiting for info;{NN}{NN}{TO}{VBG}{IN}{NN}
event;status change to Assign investigating officer;{NN}{NN}{TO}{VB}{VBG}{NN}
event;status change to Publish decision;{NN}{NN}{TO}{VB}{NN}
event;status change to Conclude decision;{NN}{NN}{TO}{NNP}{NN}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Archive negative decision;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;no;{DT}
event;status change to Archive final decision;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Start case;{NN}{NN}{TO}{NNP}{NN}
event;no;{DT}
event;status change to Send negative decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Sign final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;no;{DT}
