4e8261b4ad32ef7bd1d588a5c7193390;Fig.76: WMO YAWL model for MunH
function;Process continue 2;{VB}{VB}{CD}
function;Copy decision;{VB}{NN}
function;Formulate decision;{VB}{NN}
function;Process in the system;{VB}{IN}{DT}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Process continue 1;{VB}{VB}{CD}
function;Execute order;{VB}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
event;always;{RB}
event;status change to Send request to ISD;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Receive request ISD;{NN}{NN}{TO}{VB}{NN}{NN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;status change to;{NN}{NN}{TO}
event;status change to Go through app;{NN}{NN}{TO}{VB}{IN}{NN}
event;no PGB;{DT}{NN}
event;status change to Record request;{NN}{NN}{TO}{NNP}{NN}
event;status change to Higher than EUR 10000;{NN}{NN}{TO}{JJR}{IN}{$}{CD}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;status change to Receive confirmation;{NN}{NN}{TO}{VB}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Assess need for house visit and medical advice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
event;status change to Record request ISD;{NN}{NN}{TO}{NNP}{NN}{NN}
event;status change to Get customer;{NN}{NN}{TO}{VB}{NN}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;status change to Report to reception;{NN}{NN}{TO}{VB}{TO}{NN}
event;status change to Need quotation;{NN}{NN}{TO}{NNP}{NN}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;status change to Pay part of invoice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;yes;{RB}
event;status change to Receive offers;{NN}{NN}{TO}{VB}{NNS}
event;status change to;{NN}{NN}{TO}
event;no;{DT}
event;status change to;{NN}{NN}{TO}
event;no;{DT}
event;status change to;{NN}{NN}{TO}
event;status change to Compare invoice to record;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Get in contact about wrong charges;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{JJ}{NNS}
event;status change to Execute order;{NN}{NN}{TO}{VB}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;status change to Give application form;{NN}{NN}{TO}{VB}{NN}{NN}
event;always;{RB}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;transportation facilities;{NN}{NNS}
event;status change to;{NN}{NN}{TO}
event;status change to Assign to available consultant;{NN}{NN}{TO}{VB}{TO}{JJ}{NN}
event;with PGB;{IN}{NN}
event;other;{JJ}
event;only if no PGB;{RB}{IN}{DT}{NN}
event;status change to Obtain quotes;{NN}{NN}{TO}{VB}{NNS}
event;status change to Perform fitting;{NN}{NN}{TO}{VB}{JJ}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;always;{RB}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;the end;{DT}{NN}
event;yes;{RB}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;always;{RB}
