ab7567f2549ceabeec86d24276be4766;Fig.59: WABO2 YAWL model for MunA
event;status change to Inform customer;{NN}{NN}{TO}{VB}{NN}
event;status change to Publish notice request;{NN}{NN}{TO}{VB}{NN}{NN}
event;yes;{RB}
event;status change to Check environmental aspects;{NN}{NN}{TO}{VB}{JJ}{NNS}
event;status change to Receive request via mail;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;complete;{JJ}
event;status change to Check wealth;{NN}{NN}{TO}{VB}{NN}
event;status change to Determine procedure period;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Start case;{NN}{NN}{TO}{NNP}{NN}
event;status change to Time for advice expired;{NN}{NN}{TO}{NNP}{IN}{NN}{VBD}
event;status change to Test adm environment;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Archive;{NN}{NN}{TO}{NNP}
