9122f8b4ac80a66553084f5bbdaa1d7f;Cost and Activity Planning
event;Process quantities (output) to be planned manually;{VB}{NNS}{-LRB-}{NN}{-RRB-}{TO}{VB}{VBN}{RB}
event;Depreciation / interest to be transferred (activity-independent);{NN}{:}{NN}{TO}{VB}{VBN}{-LRB-}{JJ}{-RRB-}
event;Order Planning Is Prepared;{NNP}{VBZ}{VBN}
event;Overhead Was Charged to Cost Center;{NN}{VBD}{VBN}{TO}{NN}{NN}
event;New Period to Be Planned (Copy of Actual);{NNP}{NN}{TO}{VB}{NNP}{-LRB-}{VB}{IN}{NNP}{-RRB-}
event;Personnel cost planning is complete;{NNP}{VBD}{NN}{VBZ}{JJ}
event;Process Quantities Planned;{VB}{NNS}{NNP}
event;Key figures transferred from LIS;{NN}{NNS}{VBN}{IN}{NN}
event;Planned Costs Distributed;{NNP}{NNS}{VBN}
event;Order is budgeted;{NN}{VBZ}{VBN}
event;Overhead Costs Allocated Through Overhead Charges;{NN}{NNS}{VBN}{IN}{NN}{NNS}
event;Business Process Is Processed;{NN}{VB}{VBZ}{VBN}
event;Planned Periodic Reposting Performed;{NNP}
event;Interest Calculated;{NN}{VBN}
event;Depreciation /interest to be transferred (activity-dependent);{NN}{:}{NN}{TO}{VB}{VBN}{-LRB-}{JJ}{-RRB-}
event;Cost and activity planning executed;{NN}{CC}{NN}{NN}{VBD}
event;Splitting Executed;{VBG}{VBN}
event;Budget is planned;{NNP}{VBZ}{VBN}
